0.2	0.5	511 	376	376
0.2	1	409 	511	511
0.2	1.5	263 	511	511

0.8	0.5	9 	4	4
0.8	1	454 	12	12
0.8	1.5	508 	28	28

1.2	0.5	1 	2	2
1.2	1	4 	4	4
1.2	1.5	7 	7	7

1.5	0.5	3 	3	3
1.5	1	3 	3	3
1.5	1.5	4 	4	4

2.2	0.5	1 	2	2
2.2	1	1 	2	2
2.2	1.5	2 	3	3

2.5	0.5	1 	1	2
2.5	1	1 	2	2
2.5	1.5	3 	3	3

